__Server,DNS Name,Función,IP Address,Soporte OS,Soporte Aplicaciones
S460-ProdocApp1,S460-ProdocApp1.reservas.brrd.com,ProDoctivity - Digitalizacion CRM,172.22.43.72,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-ProdocFS1,S460-ProdocFS1.reservas.brrd.com,Prodoctivity,172.22.43.73,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-ProdocFS2,S460-ProdocFS2.reservas.brrd.com,Prodoctivity,172.22.43.74,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-ProdocGen1,S460-ProdocGen1.reservas.brrd.com,Prodoctivity,172.22.43.116,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-ProdocGen2,S460-ProdocGen2.reservas.brrd.com,Prodoctivity,172.22.43.117,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-PRODODB1,S460-PRODODB1.reservas.brrd.com,Prodoctivity,172.22.47.71,GSSD - Aplicaciones,DBA SQL
S460-PRODODB2,S460-PRODODB2.reservas.brrd.com,Prodoctivity,172.22.47.72,GSSD - Aplicaciones,DBA SQL
S460-ProjSRV02,S460-ProjSRV02.reservas.brrd.com,Project Server 2016 nodo 1,172.22.43.177,GSSD - Web,GSSD - Web
S460-ProjSRV03,S460-ProjSRV03.reservas.brrd.com,Project Server 2016 nodo 2,172.22.43.179,GSSD - Web,GSSD - Web
S460-ProjSRV04,S460-ProjSRV04.reservas.brrd.com,Project Server Reporting Services,172.22.43.216,GSSD - Web,GSSD - Web
S460-ProjSrvDB,S460-ProjSrvDB.reservas.brrd.com,Project Server DB Server,172.22.43.198,GSSD - Aplicaciones,DBA SQL
S460-ProMAS,S460-Promas.reservas.brrd.com,Carpetas Compartidas Proyecto PROMAS,172.22.43.254,GSSD - Aplicaciones,Usuarios
S460-ProxyInfo1,S460-Proxyinfo1.reservas.brrd.com,Seguridad de Infraestructura,10.0.97.225,GSSD - Aplicaciones,Ciberseguridad
S460-PSCSA1,S460-PSCSA1.reservas.brrd.com,VMware vCenter Server Appliance,172.22.40.213,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-PSCSP1,s460-pscsp1.reservas.brrd.com,vCenter Single SignOn Sitio Primario,172.22.40.211,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-PuestoB02,S460-PuestoB02.reservas.brrd.com,Tesoreria Mesa de Titulo - equipo puente para conexion a puesto de bolsa (Siopel),10.0.97.235,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-QA,S460-QA.reservas.brrd.com,Control de Versiones,192.168.0.189,GSSD - Aplicaciones,Control de Versiones
s460-QAWK01,S460-QAWK01.reservas.brrd.com,Worker Citrix QA,172.22.49.223,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-QAWork01,S460-QAWork01.reservas.brrd.com,Citrix XenApp XenDesktop,172.22.49.199,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-QAWork02,S460-QAWork02.reservas.brrd.com,Citrix XenApp XenDesktop,172.22.49.204,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-RadiusVPN1,S460-radiusVPN1.reservas.brrd.com,Autenticacion Radius para VPNs - Ciberseguridad,172.22.61.40,GSSD - Aplicaciones,Ciberseguridad
S460-RATIONAL04,S460-RATIONAL04.reservas.brrd.com,CLM de Rational (Richard Teruel y Esther Taveras),172.22.43.152,GSSD - Aplicaciones,Gestion de la Demanda
S460-RationDB1,S460-RationDB1.reservas.brrd.com,Rational Servidor Base de Datos,172.22.44.67,GSSD - Aplicaciones,DBA SQL
S460-REDESCSFTP,S460-REDESCSFTP.reservas.brrd.com,Servidor administrador por Redes para hacer SFTP de recepcion de Backup diferentes equipos,172.22.0.42,GSSD - Aplicaciones,Telecomunicaciones
S460-RedesZNAPP,S460-REDESZNAPP.reservas.brrd.com,Servidor utilizado en Zona Norte para manejar la entrada y salida de activo fijos del ÿrea de Telecomunicaciones.,172.22.47.54,GSSD - Aplicaciones,Telecomunicaciones
S460-RedesZNDB,S460-RedesZNDB.reservas.brrd.com,Redes y Telecomunicaciones - Zona Norte,172.22.47.146˜,GSSD - Aplicaciones,Telecomunicaciones
S460-ReportDB01,S460-ReportDB01.reservas.brrd.com,Servidor de SQL reporting server nodo1,172.22.47.50,GSSD - Aplicaciones,DBA SQL
S460-ReportDB02,S460-REPORTDB02.reservas.brrd.com,Servidor de SQL reporting server nodo2,172.22.47.52,GSSD - Aplicaciones,DBA SQL
S460-ReportDB03,S460-ReportDB03.reservas.brrd.com,0,172.22.47.93,GSSD - Aplicaciones,DBA SQL
S460-ReportDB04,S460-ReportDB04.reservas.brrd.com,0,172.22.47.94,GSSD - Aplicaciones,DBA SQL
S460-ReportDB05,S460-ReportDB05.reservas.brrd.com,0,172.22.47.152,GSSD - Aplicaciones,DBA SQL
S460-ReportSIG1,S460-ReportSIG1.reservas.brrd.com,Reportes SIG,172.22.47.202,GSSD - Aplicaciones,SIG
S460-ReportSRV,S460-ReportSRV.reservas.brrd.com,Pertenece a la gerencia de SQL - Reporting Server de SQL,172.22.43.129,GSSD - Aplicaciones,DBA SQL
S460-RepTeller,S460-RepTeller.reservas.brrd.com,Servidor de prueba que se estÿ utilizando para recuperar las bases de datos de Teller (Luis Hernÿndez),172.22.43.110,GSSD - Aplicaciones,DBA SQL
S460-RIESGODB,S460-RIESGODB.reservas.brrd.com,Riesgos,172.22.52.25,GSSD - Aplicaciones,DBA SQL
S460-RiverbedSH,S460-RiverbedSH,Riverbed Steelhead 9.8.1 (steelhead/komodo/point/9.8.1/128/x86_64/),192.168.1.229,GSSD - Aplicaciones,Telecomunicaciones
S460-RSARCHDB1,S460-RSARCHDB1.reservas.brrd.com,Servidores SQL Proyesto RSA Ciber-Seguridad Nodo1,172.22.47.59,GSSD - Aplicaciones,DBA SQL
S460-RSARCHDB2,S460-RSARCHDB2.reservas.brrd.com,Servidores SQL Proyesto RSA Ciber-Seguridad Nodo2,172.22.47.60,GSSD - Aplicaciones,DBA SQL
S460-S_ALMACEN,0,Servidor P2V para pruebas del sistema de almacen,,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SafeWatch1,S460-SafeWatch1.reservas.brrd.com,SafeWatch,172.22.43.113,GSSD - Web,GSSD - Web
S460-SBRACT01,S460-SBRAct01,Seguros Reserva - Modelos Actuariales,10.0.97.158,GSSD - Web,GSSD - Web
S460-SBRAPP01,S460-SBRAPP01.extranet.brrd.com,Filial Seguros Reservas - APP Externo,10.0.98.17,GSSD - Web,GSSD - Web
S460-SBRAPP02,S460-SBRApp02.extranet.brrd.com,Filial Seguros Reservas - APP Externo,10.0.98.18,GSSD - Web,GSSD - Web
S460-SBRAPP03,S460-SBRApp03.extranet.brrd.com,Filial Seguros Reservas - APP Externo,10.0.98.19,GSSD - Web,GSSD - Web
S460-SBRDB01,S460-SBRDB01.reservas.brrd.com,Filial Seguros Reservas - DB Server,172.22.43.107,GSSD - Aplicaciones,DBA SQL
S460-SBRDB02,S460-SBRDB02.reservas.brrd.com,Filial Seguros Reservas - DB Server,172.22.43.108,GSSD - Aplicaciones,DBA SQL
S460-SBRDB03,S460-SBRDB03.reservas.brrd.com,Filial Seguros Reservas DB Server,172.22.43.153,GSSD - Aplicaciones,DBA SQL
S460-SBRDB04,S460-SBRDB04.reservas.brrd.com,Filial Seguros Reservas - DB Server,172.22.43.20,GSSD - Aplicaciones,DBA SQL
S460-SBRDB05,S460-SBRDB05.reservas.brrd.com,Filial Seguros Reservas DB Server,172.22.43.222,GSSD - Aplicaciones,DBA SQL
S460-SBRMED01,S460-SBRMED01.reservas.brrd.com,Filial Seguros Reservas - Mediciones y Print Server,172.22.44.118,GSSD - Web,GSSD - Web
S460-SBRNB01,S460-SBRNB01.reservas.brrd.com,Filial Seguros Reservas - Master NetBackup,172.22.44.150,GSSD - Aplicaciones,Filial Seguros
S460-SBRWEB01,S460-SBRWEB01.extranet.brrd.com,Filial Seguros Reservas - WEB Externo,10.0.99.34,GSSD - Web,GSSD - Web
S460-SBRWEB02,S460-SBRWEB02.extranet.brrd.com,Seguro Reserva - Aplicativos WEB,10.0.99.44,GSSD - Web,GSSD - Web
S460-SBRWEB03,S460-SBRWEB03.extranet.brrd.com,Filial Seguros Reservas - WEB Externo,10.0.99.157,GSSD - Web,GSSD - Web
S460-SBRWEBIN01,S460-SBRWEBIN01.reservas.brrd.com,Filial Seguros Reservas - Web Interno,192.168.0.246,GSSD - Web,GSSD - Web
S460-SCCMDB,S460-SCCMDB.reservas.brrd.com,Servidor Base de Datos System-Center..,172.22.43.66,GSSD - Aplicaciones,DBA SQL
S460-SccmEx,S460-SccmEx.extranet.brrd.com,System Center Extranet,10.0.81.132,GSSD - Aplicaciones,GSSD - Aplicaciones
